Position,Conserved,B
234,N,0.930930
235,N,0.930927
236,N,0.930925
237,N,0.930922
238,N,0.930920
239,N,0.930917
240,N,0.930915
241,N,0.930912
242,N,0.930909
243,N,0.930907
244,N,0.930904
245,N,0.930902
246,N,0.930899
247,N,0.930897
248,N,0.930894
249,N,0.930891
250,N,0.930889
251,N,0.930886
252,N,0.930884
253,N,0.930881
254,N,0.930879
255,N,0.930876
256,N,0.930874
257,N,0.930871
258,N,0.930868
259,N,0.930866
260,N,0.930863
261,N,0.930861
262,N,0.930858
263,N,0.930856
264,N,0.930853
265,N,0.930851
266,N,0.930848
267,N,0.930845
268,N,0.930843
269,N,0.930840
270,N,0.930838
271,N,0.930835
272,N,0.930833
273,N,0.930830
274,N,0.930827
275,N,0.930825
276,N,0.930822
277,N,0.930820
278,N,0.930817
279,N,0.930815
280,N,0.930812
281,N,0.930809
282,N,0.930807
283,N,0.930804
284,N,0.930802
285,N,0.930799
286,N,0.930797
287,N,0.930794
288,N,0.930791
289,N,0.930789
290,N,0.930786
291,N,0.930784
292,N,0.930781
293,N,0.930779
294,N,0.930776
295,N,0.930773
296,N,0.930771
297,N,0.930768
298,N,0.930766
299,N,0.930763
300,N,0.930760
301,N,0.930758
302,N,0.930755
303,N,0.930753
304,N,0.930750
305,N,0.930748
306,N,0.930745
307,N,0.930742
308,N,0.930740
309,N,0.930737
310,N,0.930735
311,N,0.930732
312,N,0.930729
313,N,0.930727
314,N,0.930724
315,N,0.930722
316,N,0.930719
317,N,0.930717
318,N,0.930714
319,N,0.930711
320,N,0.930709
321,N,0.930706
322,N,0.930704
323,N,0.930701
324,N,0.930698
325,N,0.930696
326,N,0.930693
327,N,0.930691
328,N,0.930688
329,N,0.930685
330,N,0.930683
331,N,0.930680
332,N,0.930678
333,N,0.930675
334,N,0.930672
335,N,0.930670
336,N,0.930667
337,N,0.930665
338,N,0.930662
339,N,0.930660
340,N,0.930657
341,N,0.930654
342,N,0.930652
343,N,0.930649
344,N,0.930647
345,N,0.930644
346,N,0.930641
347,N,0.930639
348,N,0.930636
349,N,0.930634
350,N,0.930631
351,N,0.930628
352,N,0.930626
353,N,0.930623
354,N,0.930621
355,N,0.930618
356,N,0.930615
357,N,0.930613
358,N,0.930610
359,N,0.930607
360,N,0.930605
361,N,0.930602
362,N,0.930600
363,N,0.930597
364,N,0.930594
365,N,0.930592
366,N,0.930589
367,N,0.930587
368,N,0.930584
369,N,0.930581
370,N,0.930579
371,N,0.930576
372,N,0.930574
373,N,0.930571
374,N,0.930568
375,N,0.930566
376,N,0.930563
377,N,0.930561
378,N,0.930558
379,N,0.930555
380,N,0.930553
381,N,0.930550
382,N,0.930547
383,N,0.930545
384,N,0.930542
385,N,0.930540
386,N,0.930537
387,N,0.930534
388,N,0.930532
389,N,0.930529
390,N,0.930527
391,N,0.930524
392,N,0.930521
393,N,0.930519
394,N,0.930516
395,N,0.930513
396,N,0.930511
397,N,0.930508
398,N,0.930506
399,N,0.930503
400,N,0.930500
401,N,0.930498
402,N,0.930495
403,N,0.930492
404,N,0.930490
405,N,0.930487
406,N,0.930485
407,N,0.930482
408,N,0.930479
409,N,0.930477
410,N,0.930474
411,N,0.930471
412,N,0.930469
413,N,0.930466
414,N,0.930464
415,N,0.930461
416,N,0.930458
417,N,0.930456
418,N,0.930453
419,N,0.930450
420,N,0.930448
421,N,0.930445
422,N,0.930443
423,N,0.930440
424,N,0.930437
425,N,0.930435
426,N,0.930432
427,N,0.930429
428,N,0.930427
429,N,0.930424
430,N,0.930421
431,N,0.930419
432,N,0.930416
433,N,0.930414
434,N,0.930411
435,N,0.930408
436,N,0.930406
437,N,0.930403
438,N,0.930400
439,N,0.930398
440,N,0.930395
441,N,0.930392
442,N,0.930390
443,N,0.930387
444,N,0.930384
445,N,0.930382
446,N,0.930379
447,N,0.930377
448,N,0.930374
449,N,0.930371
450,N,0.930369
451,N,0.930366
452,N,0.930363
453,N,0.930361
454,N,0.930358
455,N,0.930355
456,N,0.930353
457,N,0.930350
458,N,0.930347
459,N,0.930345
460,N,0.930342
461,N,0.930340
462,N,0.930337
463,N,0.930334
464,N,0.930332
465,N,0.930329
466,N,0.930326
467,N,0.930324
468,N,0.930321
469,N,0.930318
470,N,0.930316
471,N,0.930313
472,N,0.930310
473,N,0.930308
474,N,0.930305
475,N,0.930302
476,N,0.930300
477,N,0.930297
478,N,0.930294
479,N,0.930292
480,N,0.930289
481,N,0.930286
482,N,0.930284
483,N,0.930281
484,N,0.930278
485,N,0.930276
486,N,0.930273
487,N,0.930270
488,N,0.930268
489,N,0.930265
490,N,0.930263
491,N,0.930260
492,N,0.930257
493,N,0.930255
494,N,0.930252
495,N,0.930249
496,N,0.930247
497,N,0.930244
498,N,0.930241
499,N,0.930239
500,N,0.930236
501,N,0.930233
502,N,0.930231
503,N,0.930228
504,N,0.930225
505,N,0.930223
506,N,0.930220
507,N,0.930217
508,N,0.930215
509,N,0.930212
510,N,0.930209
511,N,0.930207
512,N,0.930204
513,N,0.930201
514,N,0.930198
515,N,0.930196
516,N,0.930193
517,N,0.930190
518,N,0.930188
519,N,0.930185
520,N,0.930182
521,N,0.930180
522,N,0.930177
523,N,0.930174
524,N,0.930172
525,N,0.930169
526,N,0.930166
527,N,0.930164
528,N,0.930161
529,N,0.930158
530,N,0.930156
531,N,0.930153
532,N,0.930150
533,N,0.930148
534,N,0.930145
535,N,0.930142
536,N,0.930140
537,N,0.930137
538,N,0.930134
539,N,0.930132
540,N,0.930129
541,N,0.930126
542,N,0.930123
543,N,0.930121
544,N,0.930118
545,N,0.930115
546,N,0.930113
547,N,0.930110
548,N,0.930107
549,N,0.930105
550,N,0.930102
551,N,0.930099
552,N,0.930097
553,N,0.930094
554,N,0.930091
555,N,0.930089
556,N,0.930086
557,N,0.930083
558,N,0.930080
559,N,0.930078
560,N,0.930075
561,N,0.930072
562,N,0.930070
563,N,0.930067
564,N,0.930064
565,N,0.930062
566,N,0.930059
567,N,0.930056
568,N,0.930054
569,N,0.930051
570,N,0.930048
571,N,0.930045
572,N,0.930043
573,N,0.930040
574,N,0.930037
575,N,0.930035
576,N,0.930032
577,N,0.930029
578,N,0.930027
579,N,0.930024
580,N,0.930021
581,N,0.930018
582,N,0.930016
583,N,0.930013
584,N,0.930010
585,N,0.930008
586,N,0.930005
587,N,0.930002
588,N,0.929999
589,N,0.929997
590,N,0.929994
591,N,0.929991
592,N,0.929989
593,N,0.929986
594,N,0.929983
595,N,0.929981
596,N,0.929978
597,N,0.929975
598,N,0.929972
599,N,0.929970
600,N,0.929967
601,N,0.929964
602,N,0.929962
603,N,0.929959
604,N,0.929956
605,N,0.929953
606,N,0.929951
607,N,0.929948
608,N,0.929945
609,N,0.929943
610,N,0.929940
611,N,0.929937
612,N,0.929934
613,N,0.929932
614,N,0.929929
615,N,0.929926
616,N,0.929924
617,N,0.929921
618,N,0.929918
619,N,0.929915
620,N,0.929913
621,N,0.929910
622,N,0.929907
623,N,0.929904
624,N,0.929902
625,N,0.929899
626,N,0.929896
627,N,0.929894
628,N,0.929891
629,N,0.929888
630,N,0.929885
631,N,0.929883
632,N,0.929880
633,N,0.929877
634,N,0.929875
635,N,0.929872
636,N,0.929869
637,N,0.929866
638,N,0.929864
639,N,0.929861
640,N,0.929858
641,N,0.929855
642,N,0.929853
643,N,0.929850
644,N,0.929847
645,N,0.929844
646,N,0.929842
647,N,0.929839
648,N,0.929836
649,N,0.929834
650,N,0.929831
651,N,0.929828
652,N,0.929825
653,N,0.929823
654,N,0.929820
655,N,0.929817
656,N,0.929814
657,N,0.929812
658,N,0.929809
659,N,0.929806
660,N,0.929803
661,N,0.929801
662,N,0.929798
663,N,0.929795
664,N,0.929792
665,N,0.929790
666,N,0.929787
667,N,0.929784
668,N,0.929782
669,N,0.929779
670,N,0.929776
671,N,0.929773
672,N,0.929771
673,N,0.929768
674,N,0.929765
675,N,0.929762
676,N,0.929760
677,N,0.929757
678,N,0.929754
679,N,0.929751
680,N,0.929749
681,N,0.929746
682,N,0.929743
683,N,0.929740
684,N,0.929738
685,N,0.929735
686,N,0.929732
687,N,0.929729
688,N,0.929727
689,N,0.929724
690,N,0.929721
691,N,0.929718
692,N,0.929716
693,N,0.929713
694,N,0.929710
695,N,0.929707
696,N,0.929705
697,N,0.929702
698,N,0.929699
699,N,0.929696
700,N,0.929694
701,N,0.929691
702,N,0.929688
703,N,0.929685
704,N,0.929682
705,N,0.929680
706,N,0.929677
707,N,0.929674
708,N,0.929671
709,N,0.929669
710,N,0.929666
711,N,0.929663
712,N,0.929660
713,N,0.929658
714,N,0.929655
715,N,0.929652
716,N,0.929649
717,N,0.929647
718,N,0.929644
719,N,0.929641
720,N,0.929638
721,N,0.929636
722,N,0.929633
723,N,0.929630
724,N,0.929627
725,N,0.929624
726,N,0.929622
727,N,0.929619
728,N,0.929616
729,N,0.929613
730,N,0.929611
731,N,0.929608
732,N,0.929605
733,N,0.929602
734,N,0.929599
735,N,0.929597
736,N,0.929594
737,N,0.929591
738,N,0.929588
739,N,0.929586
740,N,0.929583
741,N,0.929580
742,N,0.929577
743,N,0.929575
744,N,0.929572
745,N,0.929569
746,N,0.929566
747,N,0.929563
748,N,0.929561
749,N,0.929558
750,N,0.929555
751,N,0.929552
752,N,0.929549
753,N,0.929547
754,N,0.929544
755,N,0.929541
756,N,0.929538
757,N,0.929536
758,N,0.929533
759,N,0.929530
760,N,0.929527
761,N,0.929524
762,N,0.929522
763,N,0.929519
764,N,0.929516
765,N,0.929513
766,N,0.929510
767,N,0.929508
768,N,0.929505
769,N,0.929502
770,N,0.929499
771,N,0.929497
772,N,0.929494
773,N,0.929491
774,N,0.929488
775,N,0.929485
776,N,0.929483
777,N,0.929480
778,N,0.929477
779,N,0.929474
780,N,0.929471
781,N,0.929469
782,N,0.929466
783,N,0.929463
784,N,0.929460
785,N,0.929457
786,N,0.929455
787,N,0.929452
788,N,0.929449
789,N,0.929446
790,N,0.929443
791,N,0.929441
792,N,0.929438
793,N,0.929435
794,N,0.929432
795,N,0.929429
796,N,0.929427
797,N,0.929424
798,N,0.929421
799,N,0.929418
800,N,0.929415
801,N,0.929413
802,N,0.929410
803,N,0.929407
804,N,0.929404
805,N,0.929401
806,N,0.929399
807,N,0.929396
808,N,0.929393
809,N,0.929390
810,N,0.929387
811,N,0.929385
812,N,0.929382
813,N,0.929379
814,N,0.929376
815,N,0.929373
816,N,0.929370
817,N,0.929368
818,N,0.929365
819,N,0.929362
820,N,0.929359
821,N,0.929356
822,N,0.929354
823,N,0.929351
824,N,0.929348
825,N,0.929345
826,N,0.929342
827,N,0.929339
828,N,0.929337
829,N,0.929334
830,N,0.929331
831,N,0.929328
832,N,0.929325
833,N,0.929323
834,N,0.929320
835,N,0.929317
836,N,0.929314
837,N,0.929311
838,N,0.929308
839,N,0.929306
840,N,0.929303
841,N,0.929300
842,N,0.929297
843,N,0.929294
844,N,0.929292
845,N,0.929289
846,N,0.929286
847,N,0.929283
848,N,0.929280
849,N,0.929277
850,N,0.929275
851,N,0.929272
852,N,0.929269
853,N,0.929266
854,N,0.929263
855,N,0.929260
856,N,0.929258
857,N,0.929255
858,N,0.929252
859,N,0.929249
860,N,0.929246
861,N,0.929243
862,N,0.929241
863,N,0.929238
864,N,0.929235
865,N,0.929232
866,N,0.929229
867,N,0.929226
868,N,0.929224
869,N,0.929221
870,N,0.929218
871,N,0.929215
872,N,0.929212
873,N,0.929209
874,N,0.929207
875,N,0.929204
876,N,0.929201
877,N,0.929198
878,N,0.929195
879,N,0.929192
880,N,0.929189
881,N,0.929187
882,N,0.929184
883,N,0.929181
884,N,0.929178
885,N,0.929175
886,N,0.929172
887,N,0.929170
888,N,0.929167
889,N,0.929164
890,N,0.929161
891,N,0.929158
892,N,0.929155
893,N,0.929152
894,N,0.929150
895,N,0.929147
896,N,0.929144
897,N,0.929141
898,N,0.929138
899,N,0.929135
900,N,0.929132
901,N,0.929130
902,N,0.929127
903,N,0.929124
904,N,0.929121
905,N,0.929118
906,N,0.929115
907,N,0.929113
908,N,0.929110
909,N,0.929107
910,N,0.929104
911,N,0.929101
912,N,0.929098
913,N,0.929095
914,N,0.929093
915,N,0.929090
916,N,0.929087
917,N,0.929084
918,N,0.929081
919,N,0.929078
920,N,0.929075
921,N,0.929072
922,N,0.929070
923,N,0.929067
924,N,0.929064
925,N,0.929061
926,N,0.929058
927,N,0.929055
928,N,0.929052
929,N,0.929050
930,N,0.929047
931,N,0.929044
932,N,0.929041
933,N,0.929038
934,N,0.929035
935,N,0.929032
936,N,0.929029
937,N,0.929027
938,N,0.929024
939,N,0.929021
940,N,0.929018
941,N,0.929015
942,N,0.929012
943,N,0.929009
944,N,0.929006
945,N,0.929004
946,N,0.929001
947,N,0.928998
948,N,0.928995
949,N,0.928992
950,N,0.928989
951,N,0.928986
952,N,0.928983
953,N,0.928981
954,N,0.928978
955,N,0.928975
956,N,0.928972
957,N,0.928969
958,N,0.928966
959,N,0.928963
960,N,0.928960
961,N,0.928958
962,N,0.928955
963,N,0.928952
964,N,0.928949
965,N,0.928946
966,N,0.928943
967,N,0.928940
968,N,0.928937
969,N,0.928934
970,N,0.928932
971,N,0.928929
972,N,0.928926
973,N,0.928923
974,N,0.928920
975,N,0.928917
976,N,0.928914
977,N,0.928911
978,N,0.928908
979,N,0.928906
980,N,0.928903
981,N,0.928900
982,N,0.928897
983,N,0.928894
984,N,0.928891
985,N,0.928888
986,N,0.928885
987,N,0.928882
988,N,0.928879
989,N,0.928877
990,N,0.928874
991,N,0.928871
992,N,0.928868
993,N,0.928865
994,N,0.928862
995,N,0.928859
996,N,0.928856
997,N,0.928853
998,N,0.928850
999,N,0.928848
1000,N,0.928845
1001,N,0.928842
1002,N,0.928839
1003,N,0.928836
1004,N,0.928833
1005,N,0.928830
1006,N,0.928827
1007,N,0.928824
1008,N,0.928821
1009,N,0.928819
1010,N,0.928816
1011,N,0.928813
1012,N,0.928810
1013,N,0.928807
1014,N,0.928804
1015,N,0.928801
1016,N,0.928798
1017,N,0.928795
1018,N,0.928792
1019,N,0.928789
1020,N,0.928787
1021,N,0.928784
1022,N,0.928781
1023,N,0.928778
1024,N,0.928775
1025,N,0.928772
1026,N,0.928769
1027,N,0.928766
1028,N,0.928763
1029,N,0.928760
1030,N,0.928757
1031,N,0.928754
1032,N,0.928752
1033,N,0.928749
1034,N,0.928746
1035,N,0.928743
1036,N,0.928740
1037,N,0.928737
1038,N,0.928734
1039,N,0.928731
1040,N,0.928728
1041,N,0.928725
1042,N,0.928722
1043,N,0.928719
1044,N,0.928716
1045,N,0.928714
1046,N,0.928711
1047,N,0.928708
1048,N,0.928705
1049,N,0.928702
1050,N,0.928699
1051,N,0.928696
1052,N,0.928693
1053,N,0.928690
1054,N,0.928687
1055,N,0.928684
1056,N,0.928681
1057,N,0.928678
1058,N,0.928675
1059,N,0.928672
1060,N,0.928670
1061,N,0.928667
1062,N,0.928664
1063,N,0.928661
1064,N,0.928658
1065,N,0.928655
1066,N,0.928652
1067,N,0.928649
1068,N,0.928646
1069,N,0.928643
1070,N,0.928640
1071,N,0.928637
1072,N,0.928634
1073,N,0.928631
1074,N,0.928628
1075,N,0.928625
1076,N,0.928623
1077,N,0.928620
1078,N,0.928617
1079,N,0.928614
1080,N,0.928611
1081,N,0.928608
1082,N,0.928605
1083,N,0.928602
1084,N,0.928599
1085,N,0.928596
1086,N,0.928593
1087,N,0.928590
1088,N,0.928587
1089,N,0.928584
1090,N,0.928581
1091,N,0.928578
1092,N,0.928575
1093,N,0.928572
1094,N,0.928570
1095,N,0.928567
1096,N,0.928564
1097,N,0.928561
1098,N,0.928558
1099,N,0.928555
1100,N,0.928552
1101,N,0.928549
1102,N,0.928546
1103,N,0.928543
1104,N,0.928540
1105,N,0.928537
1106,N,0.928534
1107,N,0.928531
1108,N,0.928528
1109,N,0.928525
1110,N,0.928522
1111,N,0.928519
1112,N,0.928516
1113,N,0.928513
1114,N,0.928510
1115,N,0.928507
1116,N,0.928504
1117,N,0.928501
1118,N,0.928499
1119,N,0.928496
1120,N,0.928493
1121,N,0.928490
1122,N,0.928487
1123,N,0.928484
1124,N,0.928481
1125,N,0.928478
1126,N,0.928475
1127,N,0.928472
1128,N,0.928469
1129,N,0.928466
1130,N,0.928463
1131,N,0.928460
1132,N,0.928457
1133,N,0.928454
1134,N,0.928451
1135,N,0.928448
1136,N,0.928445
1137,N,0.928442
1138,N,0.928439
1139,N,0.928436
1140,N,0.928433
1141,N,0.928430
1142,N,0.928427
1143,N,0.928424
1144,N,0.928421
1145,N,0.928418
1146,N,0.928415
1147,N,0.928412
1148,N,0.928409
1149,N,0.928406
1150,N,0.928403
1151,N,0.928400
1152,N,0.928397
1153,N,0.928394
1154,N,0.928391
1155,N,0.928389
1156,N,0.928386
1157,N,0.928383
1158,N,0.928380
1159,N,0.928377
1160,N,0.928374
1161,N,0.928371
1162,N,0.928368
1163,N,0.928365
1164,N,0.928362
1165,N,0.928359
1166,N,0.928356
1167,N,0.928353
1168,N,0.928350
1169,N,0.928347
1170,N,0.928344
1171,N,0.928341
1172,N,0.928338
1173,N,0.928335
1174,N,0.928332
1175,N,0.928329
1176,N,0.928326
1177,N,0.928323
1178,N,0.928320
1179,N,0.928317
1180,N,0.928314
1181,N,0.928311
1182,N,0.928308
1183,N,0.928305
1184,N,0.928302
1185,N,0.928299
1186,N,0.928296
1187,N,0.928293
1188,N,0.928290
1189,N,0.928287
1190,N,0.928284
1191,N,0.928281
1192,N,0.928278
1193,N,0.928275
1194,N,0.928272
1195,N,0.928269
1196,N,0.928266
1197,N,0.928263
1198,N,0.928260
1199,N,0.928257
1200,N,0.928254
1201,N,0.928251
1202,N,0.928248
1203,N,0.928245
1204,N,0.928242
1205,N,0.928239
1206,N,0.928236
1207,N,0.928233
1208,N,0.928230
1209,N,0.928227
1210,N,0.928224
1211,N,0.928221
1212,N,0.928218
1213,N,0.928215
1214,N,0.928212
1215,N,0.928209
1216,N,0.928206
1217,N,0.928203
1218,N,0.928200
1219,N,0.928196
1220,N,0.928193
1221,N,0.928190
1222,N,0.928187
1223,N,0.928184
1224,N,0.928181
1225,N,0.928178
1226,N,0.928175
1227,N,0.928172
1228,N,0.928169
1229,N,0.928166
1230,N,0.928163
1231,N,0.928160
1232,N,0.928157
1233,N,0.928154
1234,N,0.928151
1235,N,0.928148
1236,N,0.928145
1237,N,0.928142
1238,N,0.928139
1239,N,0.928136
1240,N,0.928133
1241,N,0.928130
1242,N,0.928127
1243,N,0.928124
1244,N,0.928121
1245,N,0.928118
1246,N,0.928115
1247,N,0.928112
1248,N,0.928109
1249,N,0.928106
1250,N,0.928103
1251,N,0.928100
1252,N,0.928097
1253,N,0.928094
1254,N,0.928091
1255,N,0.928088
1256,N,0.928084
1257,N,0.928081
1258,N,0.928078
1259,N,0.928075
1260,N,0.928072
1261,N,0.928069
1262,N,0.928066
1263,N,0.928063
1264,N,0.928060
1265,N,0.928057
1266,N,0.928054
1267,N,0.928051
1268,N,0.928048
1269,N,0.928045
1270,N,0.928042
1271,N,0.928039
1272,N,0.928036
1273,N,0.928033
1274,N,0.928030
1275,N,0.928027
1276,N,0.928024
1277,N,0.928021
1278,N,0.928018
1279,N,0.928014
1280,N,0.928011
1281,N,0.928008
1282,N,0.928005
1283,N,0.928002
1284,N,0.927999
1285,N,0.927996
1286,N,0.927993
1287,N,0.927990
1288,N,0.927987
1289,N,0.927984
1290,N,0.927981
1291,N,0.927978
1292,N,0.927975
1293,N,0.927972
1294,N,0.927969
1295,N,0.927966
1296,N,0.927963
1297,N,0.927960
1298,N,0.927956
1299,N,0.927953
1300,N,0.927950
1301,N,0.927947
1302,N,0.927944
1303,N,0.927941
1304,N,0.927938
1305,N,0.927935
1306,N,0.927932
1307,N,0.927929
1308,N,0.927926
1309,N,0.927923
1310,N,0.927920
1311,N,0.927917
1312,N,0.927914
1313,N,0.927910
1314,N,0.927907
1315,N,0.927904
1316,N,0.927901
1317,N,0.927898
1318,N,0.927895
1319,N,0.927892
1320,N,0.927889
1321,N,0.927886
1322,N,0.927883
1323,N,0.927880
1324,N,0.927877
1325,N,0.927874
1326,N,0.927871
1327,N,0.927867
1328,N,0.927864
1329,N,0.927861
1330,N,0.927858
1331,N,0.927855
1332,N,0.927852
1333,N,0.927849
1334,N,0.927846
1335,N,0.927843
1336,N,0.927840
1337,N,0.927837
1338,N,0.927834
1339,N,0.927831
1340,N,0.927827
1341,N,0.927824
1342,N,0.927821
1343,N,0.927818
1344,N,0.927815
1345,N,0.927812
1346,N,0.927809
1347,N,0.927806
1348,N,0.927803
1349,N,0.927800
1350,N,0.927797
1351,N,0.927793
1352,N,0.927790
1353,N,0.927787
1354,N,0.927784
1355,N,0.927781
1356,N,0.927778
1357,N,0.927775
1358,N,0.927772
1359,N,0.927769
1360,N,0.927766
1361,N,0.927763
1362,N,0.927759
1363,N,0.927756
1364,N,0.927753
1365,N,0.927750
1366,N,0.927747
1367,N,0.927744
1368,N,0.927741
1369,N,0.927738
1370,N,0.927735
1371,N,0.927732
1372,N,0.927728
1373,N,0.927725
1374,N,0.927722
1375,N,0.927719
1376,N,0.927716
1377,N,0.927713
1378,N,0.927710
1379,N,0.927707
1380,N,0.927704
1381,N,0.927701
1382,N,0.927697
1383,N,0.927694
1384,N,0.927691
1385,N,0.927688
1386,N,0.927685
1387,N,0.927682
1388,N,0.927679
1389,N,0.927676
1390,N,0.927673
1391,N,0.927669
1392,N,0.927666
1393,N,0.927663
1394,N,0.927660
1395,N,0.927657
1396,N,0.927654
1397,N,0.927651
1398,N,0.927648
1399,N,0.927645
1400,N,0.927641
1401,N,0.927638
1402,N,0.927635
1403,N,0.927632
1404,N,0.927629
1405,N,0.927626
1406,N,0.927623
1407,N,0.927620
1408,N,0.927616
1409,N,0.927613
1410,N,0.927610
1411,N,0.927607
1412,N,0.927604
1413,N,0.927601
1414,N,0.927598
1415,N,0.927595
1416,N,0.927592
1417,N,0.927588
1418,N,0.927585
1419,N,0.927582
1420,N,0.927579
1421,N,0.927576
1422,N,0.927573
1423,N,0.927570
1424,N,0.927566
1425,N,0.927563
1426,N,0.927560
1427,N,0.927557
1428,N,0.927554
1429,N,0.927551
1430,N,0.927548
1431,N,0.927545
1432,N,0.927541
1433,N,0.927538
1434,N,0.927535
1435,N,0.927532
1436,N,0.927529
1437,N,0.927526
1438,N,0.927523
1439,N,0.927519
1440,N,0.927516
1441,N,0.927513
1442,N,0.927510
1443,N,0.927507
1444,N,0.927504
1445,N,0.927501
1446,N,0.927497
1447,N,0.927494
1448,N,0.927491
1449,N,0.927488
1450,N,0.927485
1451,N,0.927482
1452,N,0.927479
1453,N,0.927475
1454,N,0.927472
1455,N,0.927469
1456,N,0.927466
1457,N,0.927463
1458,N,0.927460
1459,N,0.927457
1460,N,0.927453
1461,N,0.927450
1462,N,0.927447
1463,N,0.927444
1464,N,0.927441
1465,N,0.927438
1466,N,0.927435
1467,N,0.927431
1468,N,0.927428
1469,N,0.927425
1470,N,0.927422
1471,N,0.927419
1472,N,0.927416
1473,N,0.927412
1474,N,0.927409
1475,N,0.927406
1476,N,0.927403
1477,N,0.927400
1478,N,0.927397
1479,N,0.927393
1480,N,0.927390
1481,N,0.927387
1482,N,0.927384
1483,N,0.927381
1484,N,0.927378
1485,N,0.927374
1486,N,0.927371
1487,N,0.927368
1488,N,0.927365
1489,N,0.927362
1490,N,0.927359
1491,N,0.927355
1492,N,0.927352
1493,N,0.927349
1494,N,0.927346
1495,N,0.927343
1496,N,0.927340
1497,N,0.927336
